"group","iso3","country"
"United States","USA","United States"
"Mexico","MEX","Mexico"
"Peru","PER","Peru"
"Chile","CHL","Chile"
"China","CHN","China"
"Myanmar","MMR","Myanmar"
"Japan","JPN","Japan"
"Indonesia","IDN","Indonesia"
"Philippines","PHL","Philippines"
"Vietnam","VNM","Vietnam"
"European Union","AUT","Austria"
"European Union","BEL","Belgium"
"European Union","BGR","Bulgaria"
"European Union","HRV","Croatia"
"European Union","CYP","Cyprus"
"European Union","CZE","Czechia"
"European Union","DNK","Denmark"
"European Union","EST","Estonia"
"European Union","FIN","Finland"
"European Union","FRA","France"
"European Union","DEU","Germany"
"European Union","GRC","Greece"
"European Union","HUN","Hungary"
"European Union","IRL","Ireland"
"European Union","ITA","Italy"
"European Union","LVA","Latvia"
"European Union","LTU","Lithuania"
"European Union","LUX","Luxembourg"
"European Union","MLT","Malta"
"European Union","NLD","Netherlands"
"European Union","POL","Poland"
"European Union","PRT","Portugal"
"European Union","ROU","Romania"
"European Union","SVK","Slovakia"
"European Union","SVN","Slovenia"
"European Union","ESP","Spain"
"European Union","SWE","Sweden"
"European Union","GBR","United Kingdom"
"Pacific Islands","FJI","Fiji"
"Pacific Islands","KIR","Kiribati"
"Pacific Islands","MHL","Marshall Islands"
"Pacific Islands","FSM","Federated States of Micronesia"
"Pacific Islands","NRU","Nauru"
"Pacific Islands","PLW","Palau"
"Pacific Islands","WSM","Samoa"
"Pacific Islands","SLB","Solomon Islands"
"Pacific Islands","TON","Tonga"
"Pacific Islands","TUV","Tuvalu"
"Pacific Islands","VUT","Vanuatu"
