Mapping parameters for Gadus morhua (Atlantic cod)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  31 |  41 ,
Bounding Box (NSWE): ,83,35,-76,86

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,65,200,600
Temperature (°C),1,-0.9,2.54,12.29,16.08
Salinity (psu),1,6.2,29.5,34.8,39.3
Primary Production,1,328,546,1800,2935
Sea Ice Concentration,1,-0.9512169377449899,0,0.17,0.74
Distance to Land (km),0,0,8,263,967
 

Map data (HSPEC) for predicted occurrences (n = 4587): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Gadus,morhua,51.25,0.25,1500:110:1,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,51.75,4.75,1500:114:4,0.06,0.10769230769231,1,1,0.53039647577093,1,1
Gadus,morhua,52.25,5.75,1500:225:2,0.08,0.076923076923077,1,1,1,1,1
Gadus,morhua,52.75,6.25,1500:226:3,0.02,0.015384615384615,1,1,0.98149779735683,1,1
Gadus,morhua,53.25,8.75,1500:238:2,0.01,0.015384615384615,1,1,0.9374449339207,1,1
Gadus,morhua,53.75,9.75,1500:239:4,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,54.25,9.25,1500:249:1,0.18,0.18461538461538,1,0.97639484978541,1,1,1
Gadus,morhua,54.25,9.75,1500:249:2,0.01,0.015384615384615,1,0.84892703862661,1,1,1
Gadus,morhua,54.75,9.25,1500:249:3,0.03,0.030769230769231,1,0.90085836909871,1,1,1
Gadus,morhua,58.75,6.25,1500:486:3,0.02,0.015384615384615,1,1,1,1,1
