"sovereign_iso3","sovereign","rcp","scenario","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"ABNJ","High Seas","RCP26","Full Adaptation",45086781.9568554,58158638.7221074,4805816.22482389,5438000.39032863,4717653120.93071,5365177770.13311,5563203.41080339,5667949.51943511,1.04949732498778,1.23306141144784,0.637227214377407,0.963543003851091,25.6365410804293,25.446405670251,35.8384701204288,0.524261874197689
"ABNJ","High Seas","RCP26","Imperfect Full Adaptation",40046224.8332167,62667739.619002,5080681.57104637,2032492.34559575,4082199561.23157,176060066.998832,5563203.41080339,5667949.51943511,0.983541541742088,1.10618837993878,0.533632862644416,0.709370988446727,35.377275260529,-53.1134900687501,-95.5424160810559,0.270089858793325
"ABNJ","High Seas","RCP26","Imperfect Productivity Only",39639206.8347377,60499401.5918437,5226418.4797936,2161817.84200706,4292591434.12043,598427542.556001,5563203.41080339,5667949.51943511,0.956160330538209,0.885954227312233,0.491784338896021,0.458536585365854,30.6931475778468,-50.1301473836019,-84.8486880879777,0.0192554557124519
"ABNJ","High Seas","RCP26","No Adaptation",46291181.0703828,47856910.8044305,4334919.25198956,4141006.95189877,3949674761.04271,3606409687.92168,5563203.41080339,5667949.51943511,0.991788876796463,0.788873094644747,0.439281129653402,0.303080872913992,3.38234993759841,-4.47326210290505,-8.69097062134818,-0.136200256739409
"ABNJ","High Seas","RCP26","Productivity Only",44394063.3740977,54717703.6036278,4969616.43930191,5357572.33748346,4848933694.91222,4951561162.5931,5563203.41080339,5667949.51943511,1.00287083876944,0.962287179957259,0.564313222079589,0.634017971758665,18.2032999340264,23.5910527058733,25.3663013327685,0.194736842105263
"ABNJ","High Seas","RCP26","Range Shift Only",46831585.1712654,50721073.8093617,4190285.19458077,4154977.59774582,3807670254.19105,3892001520.87535,5563203.41080339,5667949.51943511,1.01492361321548,0.948083022907076,0.457894736842105,0.457637997432606,9.56962565341235,-4.15098053236287,-1.4602022611131,0.0183568677792041
"ABNJ","High Seas","RCP45","Full Adaptation",45033157.8832229,58922275.9495051,4806904.70262699,5538877.79226383,4720237744.63979,5439018651.47635,5567994.93152122,5763216.3375862,1.03931191673005,1.22916065539399,0.626315789473684,0.965596919127086,27.6013270484886,27.4983760215228,38.3513730436959,0.533761232349166
"ABNJ","High Seas","RCP45","Imperfect Full Adaptation",39995019.9354288,63597765.2034483,5080259.60876771,2080348.92010626,4081295977.67273,167155774.865518,5567994.93152122,5763216.3375862,0.974586723268457,1.09853268623418,0.523363286264442,0.694351732991014,37.7265067668582,-52.1128432835005,-95.7480875785285,0.262516046213094
"ABNJ","High Seas","RCP45","Imperfect Productivity Only",39418048.1522107,61684796.6723714,5254898.37039088,2354173.90294171,4308496616.72523,1554200472.84339,5567994.93152122,5763216.3375862,0.954607661657517,0.882126985063351,0.490885750962773,0.448908857509628,33.5838065871061,-45.809718005235,-60.466072432997,0.0170731707317073
"ABNJ","High Seas","RCP45","No Adaptation",46176852.0064957,47490117.1351407,4344273.20966725,4203622.26515007,3931308039.68135,3609441756.63975,5567994.93152122,5763216.3375862,0.981932740422421,0.767031241313666,0.43183568677792,0.286649550706033,2.84399016299393,-3.23761738106589,-8.18725675507437,-0.145186136071887
"ABNJ","High Seas","RCP45","Productivity Only",44238584.8838125,54423544.2374058,4952512.078429,5461381.2742254,4755090933.27649,4998986909.93923,5567994.93152122,5763216.3375862,0.991933438792854,0.948020296770293,0.552631578947368,0.615019255455712,17.8589312016118,25.7144983900245,27.1583620383108,0.183183568677792
"ABNJ","High Seas","RCP45","Range Shift Only",46790744.4637174,51145031.6976721,4187214.01621157,4206562.40984205,3806595757.6336,3931297738.96949,5567994.93152122,5763216.3375862,1.00685620485249,0.95005531062617,0.453530166880616,0.463286264441592,10.7590263850761,-3.16993874875893,-0.000262017419030283,0.0314505776636714
"ABNJ","High Seas","RCP60","Full Adaptation",45061637.1420056,58672045.3827082,4805561.50718989,5497574.81954491,4717957038.11741,5407015116.35435,5563606.38141285,5726780.38937039,1.04357927556928,1.23464651734759,0.632734274711168,0.966367137355584,27.0231099117379,26.0487118087245,35.8622197767215,0.531707317073171
"ABNJ","High Seas","RCP60","Imperfect Full Adaptation",40016839.2847189,63224720.9498451,5081527.63110972,2065057.97816988,4082490802.90701,171843168.909624,5563606.38141285,5726780.38937039,0.978390273562922,1.10486783400233,0.527727856225931,0.705519897304236,36.8795075400255,-52.6522318471711,-95.682091897448,0.270860077021823
"ABNJ","High Seas","RCP60","Imperfect Productivity Only",39543482.2776688,62478976.5008725,5263966.96513092,2378451.71815413,4369201928.28866,1624212869.6172,5563606.38141285,5726780.38937039,0.957154907936583,0.881251836944874,0.493453145057766,0.454557124518614,35.264994555349,-45.4667221432389,-59.1883578818443,0.0198973042362003
"ABNJ","High Seas","RCP60","No Adaptation",46190055.8280116,46860659.0544319,4361468.46775184,4201526.24726323,3979778282.17465,3559288994.53941,5563606.38141285,5726780.38937039,0.985280309704309,0.750557317137501,0.434659820282413,0.268806161745828,1.45183463063422,-3.6671644348962,-10.5656460692446,-0.165853658536585
