"sovereign_iso3","sovereign","rcp","scenario","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"ABNJ","High Seas","RCP26","Full Adaptation",5557799.72844839,5685498.0300493,197234352.79122,197774979274.483,1.23811098047285,0.847898357526085,20.126423601098,35.9893979676531,0.498140285046575
"ABNJ","High Seas","RCP26","Imperfect Full Adaptation",5557799.72844839,5685498.0300493,138931296.080023,93860233356.2108,1.15343250917188,0.638820315328659,-15.3833017008719,-35.4620252064343,0.289062242849149
"ABNJ","High Seas","RCP26","Imperfect Productivity Only",5557799.72844839,5685498.0300493,142404649.628482,100564668726.889,0.90395704671429,0.47065600210658,-13.2678409113398,-30.8520784218808,0.12089792962707
"ABNJ","High Seas","RCP26","No Adaptation",5557799.72844839,5685498.0300493,164188982.638968,145434116357.752,0.778544020522817,0.34975807247951,0,0,0
"ABNJ","High Seas","RCP26","Productivity Only",5557799.72844839,5685498.0300493,198201759.489557,189897375688.831,0.95154550133305,0.614100918337119,20.7156267758716,30.5727847389703,0.264342845857608
"ABNJ","High Seas","RCP26","Range Shift Only",5557799.72844839,5685498.0300493,161974595.375592,149775600949.669,0.947342963421658,0.453572956782199,-1.3486820052022,2.98518992698888,0.103814884302689
"ABNJ","High Seas","RCP45","Full Adaptation",5557799.72844839,5789283.12647251,198950409.87204,198997575416.653,1.24070520397289,0.843520621441032,20.0345566645715,36.7332429174697,0.503011750765281
"ABNJ","High Seas","RCP45","Imperfect Full Adaptation",5557799.72844839,5789283.12647251,140043784.372206,93911507438.2366,1.14996074892929,0.629340706362529,-15.5061123947498,-35.4724552175443,0.288831835686778
"ABNJ","High Seas","RCP45","Imperfect Productivity Only",5557799.72844839,5789283.12647251,145485937.312664,112562801160.07,0.895301328460585,0.476185774003489,-12.2226488626623,-22.6569630194464,0.135676903327738
"ABNJ","High Seas","RCP45","No Adaptation",5557799.72844839,5789283.12647251,165744278.481399,145537084596.732,0.755335050797472,0.340508870675751,0,0,0
"ABNJ","High Seas","RCP45","Productivity Only",5557799.72844839,5789283.12647251,200238113.958623,188427145350.121,0.935188102010324,0.60485171653336,20.8114788596432,29.4701937119552,0.264342845857608
"ABNJ","High Seas","RCP45","Range Shift Only",5557799.72844839,5789283.12647251,162786187.150313,150342924636.729,0.952377399874711,0.452453836279254,-1.78473209343262,3.30214120566863,0.111944965603502
"ABNJ","High Seas","RCP60","Full Adaptation",5557799.72844839,5746269.71500432,198077166.977292,198420665620.867,1.24896881553093,0.847437543201343,19.314440182759,36.4303871004384,0.511207662683914
"ABNJ","High Seas","RCP60","Imperfect Full Adaptation",5557799.72844839,5746269.71500432,139513805.874967,93856153152.12,1.15916101435479,0.63513380073072,-15.9619864330648,-35.466241551832,0.298903920213291
"ABNJ","High Seas","RCP60","Imperfect Productivity Only",5557799.72844839,5746269.71500432,144458219.129924,114027025926.79,0.888923283575606,0.478555676245022,-12.9836527434727,-21.5971217593397,0.142325795727593
"ABNJ","High Seas","RCP60","No Adaptation",5557799.72844839,5746269.71500432,166012736.324194,145437295779.856,0.735541494969728,0.336229880517429,0,0,0
"ABNJ","High Seas","RCP60","Productivity Only",5557799.72844839,5746269.71500432,200033068.03979,189904259150.669,0.924212463355189,0.594088410519733,20.4926034404731,30.5746632130184,0.257858530002304
"ABNJ","High Seas","RCP60","Range Shift Only",5557799.72844839,5746269.71500432,162396380.034287,150045729529.302,0.955029807043631,0.453046311839637,-2.17836075109629,3.16867398058685,0.116816431322208
"ABNJ","High Seas","RCP85","Full Adaptation",5557799.72844839,5856199.4016772,200418161.122293,200237405028.808,1.32135859032464,0.841776110068793,16.1214640180392,32.6385316796767,0.545209176788124
"ABNJ","High Seas","RCP85","Imperfect Full Adaptation",5557799.72844839,5856199.4016772,140606583.567656,94082338344.6454,1.21023743911138,0.630756064645667,-18.533119738145,-37.6792602100043,0.334189131364998
"ABNJ","High Seas","RCP85","Imperfect Productivity Only",5557799.72844839,5856199.4016772,154127416.265804,116538343144.747,0.778399760567611,0.405121622066423,-10.6992044938378,-22.8042596892541,0.108554688785754
"ABNJ","High Seas","RCP85","No Adaptation",5557799.72844839,5856199.4016772,172593553.497705,150964732866.904,0.651740876739884,0.296566933280669,0,0,0
"ABNJ","High Seas","RCP85","Productivity Only",5557799.72844839,5856199.4016772,204295464.057401,184423666834.599,0.793890178115189,0.455054145683157,18.3679575031854,22.1634108392675,0.158487212402488
"ABNJ","High Seas","RCP85","Range Shift Only",5557799.72844839,5856199.4016772,163525415.742358,150975656327.936,0.991889205764471,0.455284552845528,-5.25404197988605,0.00723577011933984,0.15871761956486
