"SciName","CommName","SpeciesID"
"Ablennes hians","Flat needlefish","10"
"Acanthistius brasilianus","Argentine seabass","75"
"Acanthocybium solandri","Wahoo","94"
"Acanthopagrus berda","Goldsilk seabream","110"
"Acanthopagrus bifasciatus","Twobar seabream","111"
"Acanthopagrus latus","Yellowfin seabream","114"
"Acanthurus sohal","Sohal surgeonfish","153"
"Acetes erythraeus","Tsivakihini paste shrimp","178"
"Acetes japonicus","Akiami paste shrimp","179"
"Aequipecten opercularis","Queen scallop","366"
"Alepes djedaba","Shrimp scad","481"
"Allocyttus niger","Black oreo","523"
"Allothunnus fallai","Slender tuna","530"
"Alopias superciliosus","Bigeye thresher","532"
"Alopias vulpinus","Thresher","533"
"Alosa fallax","Twaite shad","536"
"Alosa pseudoharengus","Alewife","539"
"Alosa sapidissima","American shad","540"
"Amblygaster sirm","Spotted sardinella","655"
"Amblyraja radiata","Starry ray","677"
"Ammodytes marinus","Lesser sand-eel","692"
"Ammodytes personatus","Pacific sandlance","693"
"Amphichthys cryptocentrus","Bocon toadfish","737"
"Anadara ovalis","Blood ark","822"
"Anarhichas denticulatus","Northern wolffish","846"
"Anarhichas lupus","Atlantic wolffish","847"
"Anchoa nasus","Longnose anchovy","874"
"Anodontostoma chacunda","Chacunda gizzard shad","941"
"Anoplopoma fimbria","Sablefish","976"
"Antimora rostrata","Blue antimora","1067"
"Aphanopus carbo","Black scabbardfish","1083"
"Aphareus rutilans","Rusty jobfish","1086"
"Aphia minuta","Transparent goby","1091"
"Aprion virescens","Green jobfish","1271"
"Apsilus fuscus","African forktail snapper","1294"
"Archosargus probatocephalus","Sheepshead","1342"
"Arctoscopus japonicus","Japanese sandfish","1364"
"Argentina silus","Greater argentine","1387"
"Argentina sphyraena","Argentine","1388"
"Argyrops spinifer","King soldier bream","1412"
"Argyrosomus hololepidotus","Southern meagre(=Mulloway)","1414"
"Argyrosomus regius","Meagre","1417"
"Argyrozona argyrozona","Carpenter seabream","1419"
"Ariomma indicum","Indian dirtfish","1422"
"Aristaeomorpha foliacea","Giant red shrimp","1443"
"Aristeus antennatus","Blue and red shrimp","1445"
"Aristeus varidens","Striped red shrimp","1447"
"Arripis georgianus","Ruff","1500"
"Arripis trutta","Australian salmon","1501"
"Artemesia longinaris","Argentine stiletto shrimp","1523"
"Atheresthes evermanni","Kamchatka flounder","1733"
"Atheresthes stomias","Arrow-tooth flounder","1734"
"Atherina boyeri","Big-scale sand smelt","1735"
"Atractoscion aequidens","Geelbek croaker","1763"
"Atractoscion nobilis","White weakfish","1764"
"Atrobucca nibe","Blackmouth croaker","1773"
"Atule mate","Yellowtail scad","1780"
"Aulacomya ater","Cholga mussel","1793"
"Austroglossus microlepis","West coast sole","1829"
"Austroglossus pectoralis","Mud sole","1830"
"Balistes capriscus","Grey triggerfish","1910"
"Bathyraja eatonii","Eaton's skate","2098"
"Belone belone","Garfish","2172"
"Berryteuthis magister","Schoolmaster gonate squid","2239"
"Beryx decadactylus","Alfonsino","2248"
"Beryx splendens","Splendid alfonsino","2250"
"Bolbometopon muricatum","Green humphead parrotfish","2324"
"Boops boops","Bogue","2352"
"Boreogadus saida","Polar cod","2355"
"Bothus pantherinus","Leopard flounder","2387"
"Brachydeuterus auritus","Bigeye grunt","2422"
"Brama brama","Atlantic pomfret","2436"
"Bregmaceros mcclellandi","Unicorn cod","2468"
"Brevoortia aurea","Brazilian menhaden","2477"
"Brevoortia patronus","Gulf menhaden","2479"
"Brevoortia tyrannus","Atlantic menhaden","2482"
"Brosme brosme","Tusk(=Cusk)","2494"
"Brotula barbata","Bearded brotula","2498"
"Buccinum undatum","Whelk","2525"
"Callinectes danae","Dana swimcrab","2675"
"Callinectes sapidus","Blue crab","2679"
"Callista chione","Smooth callista","2760"
"Callorhinchus callorynchus","Plownose chimaera","2786"
"Callorhinchus milii","Ghost shark","2788"
"Cancer borealis","Jonah crab","2817"
"Cancer irroratus","Atlantic rock crab","2818"
"Cancer pagurus","Edible crab","2820"
"Cancer productus","Pacific rock crab","2821"
"Caprodon longimanus","Pink maomao","2869"
"Capros aper","Boarfish","2873"
"Carangoides bajad","Orangespotted trevally","2880"
"Carangoides fulvoguttatus","Yellowspotted trevally","2888"
"Carangoides malabaricus","Malabar trevally","2892"
"Caranx crysos","Blue runner","2902"
"Caranx hippos","Crevalle jack","2904"
"Caranx ignobilis","Giant trevally","2905"
"Caranx melampygus","Bluefin trevally","2908"
"Caranx rhonchus","False scad","2910"
"Caranx ruber","Bar jack","2911"
"Caranx sexfasciatus","Bigeye trevally","2913"
"Carcharhinus brachyurus","Copper shark","2927"
"Carcharhinus falciformis","Silky shark","2931"
"Carcharhinus limbatus","Blacktip shark","2937"
"Carcharhinus longimanus","Oceanic whitetip shark","2938"
"Carcharhinus sorrah","Spot-tail shark","2947"
"Carcinus aestuarii","Mediterranean shore crab","2951"
"Carcinus maenas","Green crab","2952"
"Caulolatilus microps","Grey tilefish","3053"
"Caulolatilus princeps","Ocean whitefish","3054"
"Centriscops humerosus","Banded yellowfish","3072"
"Centroberyx affinis","Redfish","3075"
"Centroberyx gerrardi","Bight redfish","3077"
"Centrophorus granulosus","Gulper shark","3090"
"Centrophorus squamosus","Leafscale gulper shark","3096"
"Centropomus undecimalis","Common snook","3111"
"Centropristis striata","Black seabass","3116"
"Cephalopholis argus","Peacock hind","3151"
"Cephalopholis boenak","Chocolate hind","3153"
"Cephalopholis fulva","Coney","3157"
"Cephalopholis hemistiktos","Yellowfin hind","3158"
