"rcp","scenario","scenario_short","sovereign_iso3","sovereign","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"RCP 2.6","Full Adaptation","Full","ABNJ","High Seas",45086781.9568554,60043204.9897938,4805816.22482389,5649229.77431029,4717653120.93071,5501522443.61042,5563203.41080339,5792606.8981328,1.06162060258762,1.21093979648575,0.668932609074369,0.978960465472857,29.707654031341,30.3191465842765,39.2905182440396,0.491925759722469
"RCP 2.6","No Adaptation","BAU","ABNJ","High Seas",46291181.0703828,48799654.1009716,4334919.25198956,4159940.01473579,3949674761.04271,3572643247.64871,5563203.41080339,5792606.8981328,1.01901563068967,0.809907994594673,0.487034705750388,0.359172276032359,5.41890047431456,-4.03650511306436,-9.5458876035267,-0.127862429718029
"RCP 2.6","Productivity Only","Productivity","ABNJ","High Seas",44394063.3740977,55683254.0758993,4969616.43930191,5512797.74112729,4848933694.91222,4987048676.82764,5563203.41080339,5792606.8981328,1.03401494493806,1.019497513827,0.626058569966863,0.7686378850785,20.2891194139905,27.1718668945711,26.2647933955723,0.281603179328112
"RCP 2.6","Range Shift Only","Range","ABNJ","High Seas",46831585.1712654,52417083.8738461,4190285.19458077,4225106.48996198,3807670254.19105,3942746328.74645,5563203.41080339,5792606.8981328,1.03485290397478,0.949463064962524,0.500117325614791,0.46070718077098,13.2334122003698,-2.53321355356686,-0.175417792993942,-0.0263275249794084
"RCP 4.5","Full Adaptation","Full","ABNJ","High Seas",45033157.8832229,61101097.8127927,4806904.70262699,5785811.76132341,4720237744.63979,5595051100.66165,5567994.93152122,5924208.40757274,1.05638124548363,1.2224947455415,0.663968941198401,0.978745120828295,32.3197558036171,33.182502160507,42.3203433612178,0.495355374069797
"RCP 4.5","No Adaptation","BAU","ABNJ","High Seas",46176852.0064957,47592534.056477,4344273.20966725,4170280.73443251,3931308039.68135,3284549710.26744,5567994.93152122,5924208.40757274,1.01376717462893,0.783943002976636,0.483389746758498,0.334935942696401,3.06578293769834,-4.00509974482166,-16.4514793266196,-0.148453804062097
"RCP 4.5","Productivity Only","Productivity","ABNJ","High Seas",44238584.8838125,54971810.3192815,4952512.078429,5575519.75422671,4755090933.27649,4696673874.01767,5567994.93152122,5924208.40757274,1.02680074436791,1.00158961864457,0.62120070411147,0.744611859564971,19.0462492149717,28.3418303853354,19.4684778351372,0.261222112806473
"RCP 4.5","Range Shift Only","Range","ABNJ","High Seas",46790744.4637174,53039136.0647969,4187214.01621157,4278555.07453641,3806595757.6336,3987611075.40437,5567994.93152122,5924208.40757274,1.03034995533131,0.952158046943686,0.497299936108367,0.464983135496394,14.8608745726883,-1.51275327216062,1.43217054361353,-0.0184066112621034
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas",45061637.1420056,61482666.6127345,4805561.50718989,5781811.02805599,4717957038.11741,5588910367.77679,5563606.38141285,5930054.04479928,1.05866404995049,1.24992800706778,0.666161593711404,0.979068254333894,33.1080153738391,32.5656959532319,40.4327068371977,0.494629699640752
"RCP 6.0","No Adaptation","BAU","ABNJ","High Seas",46190055.8280116,46377780.8611065,4361468.46775184,4143364.05465146,3979778282.17465,3179666827.02456,5563606.38141285,5930054.04479928,1.01379753146037,0.752773048488528,0.484438554693142,0.309587509270204,0.406418718769032,-5.00071053391806,-20.1044228703337,-0.174851045422938
"RCP 6.0","Productivity Only","Productivity","ABNJ","High Seas",44353902.0237394,52457717.4002086,4959301.58306528,5564332.20768658,4810744113.65501,4574868075.00048,5563606.38141285,5930054.04479928,1.02596910710405,0.974724150526762,0.617338268812506,0.699063009185749,13.5692877175438,27.579329045448,14.9528378375052,0.214624454492607
