"rcp","scenario","scenario_short","sovereign_iso3","sovereign","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"RCP 2.6","Full Adaptation","Full","ABNJ","High Seas",5557799.72844839,5797965.36153341,477907986.592591,471609075704.802,1.20881502057981,0.916964094711598,28.4869153072706,45.3612895381543,0.534041906391794
"RCP 2.6","No Adaptation","BAU","ABNJ","High Seas",5557799.72844839,5797965.36153341,371950704.435308,324439248718.287,0.811606202122316,0.382922188319804,0,0,0
"RCP 2.6","Productivity Only","Productivity","ABNJ","High Seas",5557799.72844839,5797965.36153341,472610524.701595,439014824763.543,1.02269234193625,0.738467860882489,27.0626776790509,35.314955418585,0.355545672562685
"RCP 2.6","Range Shift Only","Range","ABNJ","High Seas",5557799.72844839,5797965.36153341,372515247.327674,346493263342.063,0.950996803453587,0.470990913901618,0.151778955015687,6.79757911871063,0.0880687255818143
"RCP 4.5","Full Adaptation","Full","ABNJ","High Seas",5557799.72844839,5936406.99809782,485586894.521916,477098090699.536,1.21873791268225,0.91572802350689,29.4491305091549,51.072189289384,0.549584845179529
"RCP 4.5","No Adaptation","BAU","ABNJ","High Seas",5557799.72844839,5936406.99809782,375117926.719156,315808020618.301,0.784781638464441,0.36614317832736,0,0,0
"RCP 4.5","Productivity Only","Productivity","ABNJ","High Seas",5557799.72844839,5936406.99809782,477903031.366898,429902455430.869,1.00441203883981,0.7254969614674,27.4007444929965,36.1277825019105,0.35935378314004
"RCP 4.5","Range Shift Only","Range","ABNJ","High Seas",5557799.72844839,5936406.99809782,375919239.230898,349275304918.819,0.952812881566296,0.471540190993478,0.213616160323439,10.5973509586599,0.105397012666118
"RCP 6.0","Full Adaptation","Full","ABNJ","High Seas",5557799.72844839,5942511.95750429,483234243.335477,475437566857.136,1.24766631001425,0.916483135641539,29.1771929669244,52.9790472927303,0.566842558329327
"RCP 6.0","No Adaptation","BAU","ABNJ","High Seas",5557799.72844839,5942511.95750429,374086347.780608,310786068596.291,0.754636075156431,0.349640577312211,0,0,0
"RCP 6.0","Productivity Only","Productivity","ABNJ","High Seas",5557799.72844839,5942511.95750429,479131141.732381,428018762802.029,0.97887593562638,0.696122930384912,28.0803602096109,37.7213479147366,0.346482353072701
"RCP 6.0","Range Shift Only","Range","ABNJ","High Seas",5557799.72844839,5942511.95750429,375188073.870246,348535749449.501,0.963598867775232,0.47482923229997,0.294511172667485,12.1465164200289,0.125188654987758
"RCP 8.5","Full Adaptation","Full","ABNJ","High Seas",5557799.72844839,5977769.99580684,492585366.89498,480370159957.302,1.60589037622723,0.915211096970674,24.9626782069207,49.5177718155717,0.678339011120312
"RCP 8.5","No Adaptation","BAU","ABNJ","High Seas",5557799.72844839,5977769.99580684,394185987.338818,321279640623.479,0.598198556694269,0.236872085850362,0,0,0
"RCP 8.5","Productivity Only","Productivity","ABNJ","High Seas",5557799.72844839,5977769.99580684,483631114.482766,395262053520.653,0.717744772576157,0.400581301648874,22.691097607959,23.0274202105066,0.163709215798512
"RCP 8.5","Range Shift Only","Range","ABNJ","High Seas",5557799.72844839,5977769.99580684,380271750.320199,350430640219.403,1.11838756460401,0.485942614523649,-3.52986596823364,9.07340394783579,0.249070528673287
"RCP 2.6","Full Adaptation","Full","AGO","Angola",253292.846876247,81798.5154784601,6971080.01129435,4059619004.35725,1.25687911827081,0.912464001071596,23.3943819794622,98.6974075421098,0.634384836916482
"RCP 2.6","No Adaptation","BAU","AGO","Angola",253292.846876247,81798.5154784601,5649430.63003842,2043116241.2106,0.674868391599845,0.278079164155114,0,0,0
"RCP 2.6","Productivity Only","Productivity","AGO","Angola",253292.846876247,81798.5154784601,7043503.00731557,3056686048.29761,0.854511580189763,0.557229924318532,24.6763341046223,49.6090132633102,0.279150760163418
"RCP 2.6","Range Shift Only","Range","AGO","Angola",253292.846876247,81798.5154784601,5720645.37891906,2289625153.04549,0.87374473268582,0.41926193824928,1.26056506476929,12.0653395466542,0.141182774094167
"RCP 4.5","Full Adaptation","Full","AGO","Angola",253292.846876247,67177.3228534562,7386737.58957601,4282876636.34039,1.35136140743924,0.908244061481136,10.9923871558172,81.0695058980281,0.642091955552598
"RCP 4.5","No Adaptation","BAU","AGO","Angola",253292.846876247,67177.3228534562,6655174.9888991,2365321877.41892,0.647002189479875,0.266152105928538,0,0,0
"RCP 4.5","Productivity Only","Productivity","AGO","Angola",253292.846876247,67177.3228534562,8170952.79684525,3701322757.37356,0.840811614380111,0.548805642424646,22.775927161562,56.4828361293691,0.282653536496108
"RCP 4.5","Range Shift Only","Range","AGO","Angola",253292.846876247,67177.3228534562,6504118.92551936,2463479343.47813,0.867606983782285,0.43143256371016,-2.26975344197115,4.14985660075664,0.165280457781622
"RCP 6.0","Full Adaptation","Full","AGO","Angola",253292.846876247,45260.6053597516,8745872.35390121,4784965989.71929,1.23549895660845,0.90918774966711,10.4410200099268,81.4494521443696,0.656724367509987
"RCP 6.0","No Adaptation","BAU","AGO","Angola",253292.846876247,45260.6053597516,7919043.44338282,2637079326.04401,0.709888354507194,0.252463382157124,0,0,0
"RCP 6.0","Productivity Only","Productivity","AGO","Angola",253292.846876247,45260.6053597516,9655151.26196528,4219176690.98064,0.980906751580478,0.52237017310253,21.9232010910758,59.9943031410434,0.269906790945406
"RCP 6.0","Range Shift Only","Range","AGO","Angola",253292.846876247,45260.6053597516,7708924.86408319,2702493700.60955,0.856152385335256,0.433621837549933,-2.6533328274036,2.48056150300451,0.18115845539281
"RCP 8.5","Full Adaptation","Full","AGO","Angola",253292.846876247,22147.9520999409,6074500.81792257,3714702217.87002,1.57378555184647,0.901663156365749,-11.5564291502347,32.0332465767774,0.715665625680877
"RCP 8.5","No Adaptation","BAU","AGO","Angola",253292.846876247,22147.9520999409,6868222.03079184,2813459726.38029,0.545984680974151,0.185997530684872,0,0,0
"RCP 8.5","Productivity Only","Productivity","AGO","Angola",253292.846876247,22147.9520999409,6365883.63900207,1788553671.38837,0.728009640802593,0.334083811460527,-7.3139509692271,-36.4286734010063,0.148086280775655
"RCP 8.5","Range Shift Only","Range","AGO","Angola",253292.846876247,22147.9520999409,5296562.02747029,2290330501.93816,1.01158165724644,0.444186215411431,-22.883069246676,-18.5938053257715,0.25818868472656
"RCP 2.6","Full Adaptation","Full","ALB","Albania",19141.6496520679,19103.1296397268,1531251.7322808,835273727.681787,1.23273845708903,0.924885829186831,24.5698205097699,85.9404540259221,0.592324994887874
"RCP 2.6","No Adaptation","BAU","ALB","Albania",19141.6496520679,19103.1296397268,1229231.70798075,449215708.360775,0.738488037927316,0.332560834298957,0,0,0
"RCP 2.6","Productivity Only","Productivity","ALB","Albania",19141.6496520679,19103.1296397268,1388655.50067286,623143959.239395,0.851819793814754,0.580737509372231,12.9693849952824,38.7182032243036,0.248176675073274
"RCP 2.6","Range Shift Only","Range","ALB","Albania",19141.6496520679,19103.1296397268,1292580.65612859,514422042.758262,0.967345272443381,0.482039397450753,5.15354003126868,14.5155953329037,0.149478563151796
"RCP 4.5","Full Adaptation","Full","ALB","Albania",19141.6496520679,16185.7496309863,1360863.34243076,682669950.658048,1.2528777175306,0.923339943923955,23.2323460136602,91.4440452277705,0.644532585652739
"RCP 4.5","No Adaptation","BAU","ALB","Albania",19141.6496520679,16185.7496309863,1104306.93438224,356589806.617302,0.686994952575859,0.278807358271217,0,0,0
"RCP 4.5","Productivity Only","Productivity","ALB","Albania",19141.6496520679,16185.7496309863,1255509.69414262,468607076.565695,0.807464281857838,0.472132941256924,13.6920954720767,31.4134806631226,0.193325582985707
"RCP 4.5","Range Shift Only","Range","ALB","Albania",19141.6496520679,16185.7496309863,1144429.42289714,445261821.689719,0.982202243484862,0.482048827190043,3.63327325634795,24.8666712920318,0.203241468918827
"RCP 6.0","Full Adaptation","Full","ALB","Albania",19141.6496520679,18830.7234154102,1532503.75623291,839226719.837825,1.33431874292488,0.924281466798811,20.0721853793912,96.7626865847294,0.65616121572514
"RCP 6.0","No Adaptation","BAU","ALB","Albania",19141.6496520679,18830.7234154102,1276318.70061386,426517209.337066,0.61383779486462,0.26812025107367,0,0,0
"RCP 6.0","Productivity Only","Productivity","ALB","Albania",19141.6496520679,18830.7234154102,1453990.13577589,594756125.276152,0.723917572113925,0.461645193260654,13.9206167767178,39.4448130711019,0.193524942186984
"RCP 6.0","Range Shift Only","Range","ALB","Albania",19141.6496520679,18830.7234154102,1302806.6729353,522846589.871351,0.988183160842869,0.486884704327717,2.07534155134649,22.5851099147932,0.218764453254047
"RCP 8.5","Full Adaptation","Full","ALB","Albania",19141.6496520679,6357.0540664675,1166051.13067869,578837427.776249,1.49111301664421,0.917102705935117,13.2034481815498,66.2383780610294,0.708401853789804
"RCP 8.5","No Adaptation","BAU","ALB","Albania",19141.6496520679,6357.0540664675,1030049.12783985,348197230.102754,0.534055968512933,0.208700852145313,0,0,0
"RCP 8.5","Productivity Only","Productivity","ALB","Albania",19141.6496520679,6357.0540664675,1054862.28866924,300998100.873132,0.625598663288835,0.303034833308417,2.4089298421551,-13.5552856683247,0.0943339811631036
"RCP 8.5","Range Shift Only","Range","ALB","Albania",19141.6496520679,6357.0540664675,977896.910934296,384293324.525911,1.10061707508944,0.503363731499477,-5.06308053625796,10.3665656422667,0.294662879354164
"RCP 2.6","Full Adaptation","Full","ARE","United Arab Emirates",26997.5826889959,10570.7992756616,1182558.63197606,1006805274.4842,1.19768478480403,0.918751489158923,58.5457896449849,55.1403085531391,0.602017313954412
"RCP 2.6","No Adaptation","BAU","ARE","United Arab Emirates",26997.5826889959,10570.7992756616,745878.294607534,648964336.782498,0.661406270271021,0.316734175204511,0,0,0
"RCP 2.6","Productivity Only","Productivity","ARE","United Arab Emirates",26997.5826889959,10570.7992756616,1191012.22087111,1000689622.14131,1.03298061465095,0.788737987451354,59.679163407992,54.1979374556444,0.472003812246843
"RCP 2.6","Range Shift Only","Range","ARE","United Arab Emirates",26997.5826889959,10570.7992756616,728145.425167718,639312314.336883,0.708494039354365,0.353585894686681,-2.37744811291858,-1.48729628094332,0.0368517194821698
"RCP 4.5","Full Adaptation","Full","ARE","United Arab Emirates",26997.5826889959,4045.96679634945,1504089.2371204,1311641348.78131,1.21006593009533,0.931057415207271,22.2781362253794,98.2806067361008,0.613278652183551
"RCP 4.5","No Adaptation","BAU","ARE","United Arab Emirates",26997.5826889959,4045.96679634945,1230055.74303823,661507633.233654,0.711135433125226,0.31777876302372,0,0,0
"RCP 4.5","Productivity Only","Productivity","ARE","United Arab Emirates",26997.5826889959,4045.96679634945,1464177.78520278,1054486279.60205,1.08191190492987,0.812181334515628,19.0334497838502,59.4065172683494,0.494402571491909
"RCP 4.5","Range Shift Only","Range","ARE","United Arab Emirates",26997.5826889959,4045.96679634945,969923.787444042,709863020.782324,0.769952586101011,0.361505209487918,-21.1479810623596,7.30987597411295,0.0437264464641986
"RCP 6.0","Full Adaptation","Full","ARE","United Arab Emirates",26997.5826889959,5.98699390346663e-17,1088488.07671146,942948904.06802,1.17130814520688,0.925286624203822,20.1818207836988,77.8471898479313,0.624777070063694
"RCP 6.0","No Adaptation","BAU","ARE","United Arab Emirates",26997.5826889959,5.98699390346663e-17,905701.103223012,530201745.034201,1.17064168616405,0.300509554140127,0,0,0
"RCP 6.0","Productivity Only","Productivity","ARE","United Arab Emirates",26997.5826889959,5.98699390346663e-17,1036450.78846781,687975201.673235,1.17130814520688,0.773757961783439,14.4362952390709,29.7572495972937,0.473248407643312
